_RAJ2000,_DEJ2000,Name,MassBH,E_MassBH,e_MassBH,sigma,e_sigma,MassB,e_MassB,Mass*
186.2655972,12.8869831,NGC 4374                ,92,8,8,296,14,11.62,0.09,11.5
161.9266667,13.9856389,NGC 3377                ,18,9,9.5,145,7,10.5,0.09,10.5
10.6847083,41.26875,M31                     ,14,9,3,169,8,10.35,0.09,10.8
21.1989289,9.5389136,NGC 524                 ,87,9,5,247,12,11.26,0.09,11.2
225.2967928,1.7019839,NGC 5813                ,71,9.5,9.5,230,11,     ,     ,11.4
179.4838892,55.4535894,NGC 3998                ,23,10,9,275,7,     ,     ,10.6
169.2456958,18.1485306,NGC 3608                ,46,10,9,182,9,11.01,0.09,10.9
161.9566667,12.5816306,NGC 3379                ,42,10,11,206,10,10.91,0.09,10.8
213.977935,-48.1148392,NGC 5516                ,370,10,110,328,11,11.6,0.09,11.4
150.0588542,-19.6364778,NGC 3091                ,370,10,50,297,12,11.61,0.09,11.5
193.211455,-42.6598717,NGC 4751                ,170,10,20,355,14,11.16,0.09,11
280.5374603,79.7714244,3C 390.3                ,27.5,10.5,7.59,273,16,     ,     ,    
184.8467336,5.8249167,NGC 4261                ,53,11,11,315,15,     ,     ,11.5
168.3212875,-26.7549889,NGC 3585                ,33,14,6,213,11,11.26,0.09,11.2
188.5126208,7.6991389,NGC 4526                ,45,14,10,222,11,11.02,0.09,11.1
226.5032597,1.6338069,NGC 5845                ,49,15,16,239,11,10.57,0.09,10.4
226.6218875,1.6056361,NGC 5846                ,110,15,15,237,12,     ,     ,11.3
51.5721708,-21.3353694,NGC 1332                ,150,20,20,328,9,11.27,0.09,11.1
204.1626356,-33.9658536,A3565BCG                ,130,20,20,322,16,     ,     ,11.6
186.3502208,18.1910806,NGC 4382                ,1.3,20.7,0.3,182,5,     ,     ,11.4
204.1626356,-33.9658536,IC4296                  ,130,22,22,322,16,     ,     ,11.7
185.9125133,7.0539889,NGC 4342                ,45,27,15,225,11,     ,     ,10.4
319.6376842,26.4469931,NGC 7052                ,40,27,16,266,13,     ,     ,11.5
187.6332708,12.4902361,NGC 4486B               ,60,30,20,185,9,     ,     ,9.5
187.7059308,12.3911233,M87                     ,620,30,40,324,35,     ,     ,11.6
185.0737458,75.3709639,NGC 4291                ,98,32,31,242,12,10.85,0.09,10.7
199.8819567,-12.6569658,NGC 5077                ,86,44,45,222,11,11.28,0.09,11.2
344.294195,-36.4622214,IC1459                  ,250,50,20,331,5,     ,     ,11.5
210.4243447,-11.6069014,A1836BCG                ,370,50,50,288,14,     ,     ,11.6
357.7439522,27.1473464,NGC 7768                ,130,50,37,257,26,11.75,0.09,11.6
217.2773833,1.2850431,PG 1426+015             ,123,54.8,37.9,217,15,     ,     ,    
301.831175,-48.3702611,NGC 6861                ,210,60,10,389,3,11.25,0.09,11.1
187.4449917,8.0004111,NGC 4472                ,250,60,10,300,7,11.84,0.09,11.7
64.9081044,2.4099772,NGC 1550                ,390,60,70,270,10,11.33,0.09,11.2
177.7574292,-28.8062111,NGC 3923                ,280,75,75,222,10,     ,     ,11.3
